Time,Time_ubisense,txeui,seq,X,Y,Z
1510937288.701,1510937289.5526516438,1,209538,0.960,-0.337,0.500,
1510937288.730,1510937289.5776529312,1,209539,0.979,-0.344,0.500,
1510937288.750,1510937289.6026542187,1,209540,0.990,-0.336,0.500,
1510937288.780,1510937289.6286559105,1,209541,1.006,-0.335,0.500,
1510937288.800,1510937289.6536571980,1,209542,1.025,-0.341,0.500,
1510937288.830,1510937289.6776587963,1,209543,1.043,-0.332,0.500,
1510937288.850,1510937289.7026600838,1,209544,1.063,-0.327,0.500,
1510937288.880,1510937289.7276616096,1,209545,1.084,-0.336,0.500,
1510937288.900,1510937289.7526628971,1,209546,1.102,-0.326,0.500,
1510937288.931,1510937289.7776644230,1,209547,1.126,-0.337,0.500,
1510937288.950,1510937289.8026659489,1,209548,1.132,-0.327,0.500,
1510937288.980,1510937289.8286674023,1,209549,1.142,-0.316,0.500,
1510937289.000,1510937289.8536686897,1,209550,1.173,-0.328,0.500,
1510937289.030,1510937289.8736698627,1,209551,1.186,-0.315,0.500,
1510937289.050,1510937289.9026715755,1,209552,1.213,-0.326,0.500,
1510937289.080,1510937289.9286730289,1,209553,1.235,-0.327,0.500,
1510937289.130,1510937289.9776759148,1,209554,1.256,-0.318,0.500,
1510937289.150,1510937290.0026772022,1,209555,1.274,-0.321,0.500,
1510937289.181,1510937290.0276787281,1,209556,1.286,-0.310,0.500,
1510937289.200,1510937290.0536801815,1,209557,1.299,-0.301,0.500,
1510937289.230,1510937290.0776815414,1,209558,1.286,-0.280,0.500,
1510937289.250,1510937290.1036832333,1,209559,1.286,-0.267,0.500,
1510937289.280,1510937290.1346848011,1,209560,1.283,-0.253,0.500,
1510937289.300,1510937290.1536860466,1,209561,1.279,-0.237,0.500,
1510937289.330,1510937290.1836874485,1,209562,1.285,-0.236,0.500,
1510937289.350,1510937290.2026886940,1,209563,1.298,-0.228,0.500,
1510937289.381,1510937290.2276902199,1,209564,1.297,-0.218,0.500,
1510937289.400,1510937290.2536914349,1,209565,1.302,-0.208,0.500,
1510937289.431,1510937290.2776930332,1,209566,1.298,-0.198,0.500,
1510937289.450,1510937290.3026943207,1,209567,1.296,-0.189,0.500,
1510937289.480,1510937290.3276958466,1,209568,1.304,-0.187,0.500,
1510937289.500,1510937290.3516972065,1,209569,1.312,-0.185,0.500,
1510937289.530,1510937290.3776986599,1,209570,1.334,-0.155,0.500,
1510937289.550,1510937290.4037001133,1,209571,1.355,-0.125,0.500,
1510937289.580,1510937290.4287016392,1,209572,1.370,-0.099,0.500,
1510937289.600,1510937290.4527032375,1,209573,1.370,-0.099,0.500,
1510937289.630,1510937290.4777042866,1,209574,1.397,-0.077,0.500,
1510937289.650,1510937290.5037059784,1,209575,1.441,-0.079,0.500,
1510937289.690,1510937290.5287072659,1,209576,1.459,-0.050,0.500,
1510937289.700,1510937290.5537087917,1,209577,1.477,-0.042,0.500,
